C-ERVZEITPUNKT3-0;C-ERVAMSTVORHER4-0;C-ERVAMST4-0;C-ERVAGE5-0;C-ERVSEX1-0;F-ERV_STAT_HAUPT
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-90;ERVEXTAGE5-15;1;312339
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-90;ERVEXTAGE5-15;2;241178
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-90;ERVEXTAGE5-15;0;5
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-90;ERVEXTAGE5-65;1;1975
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-90;ERVEXTAGE5-65;2;2415
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-10;ERVEXTAGE5-15;1;22411
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-10;ERVEXTAGE5-15;2;63001
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-10;ERVEXTAGE5-65;1;35
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-10;ERVEXTAGE5-65;2;32
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-30;ERVEXTAGE5-15;1;5978
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-30;ERVEXTAGE5-15;2;6100
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-30;ERVEXTAGE5-65;1;2
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-30;ERVEXTAGE5-65;2;1
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-40;ERVEXTAGE5-15;1;1562
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-40;ERVEXTAGE5-15;2;976
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-40;ERVEXTAGE5-65;1;21
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-40;ERVEXTAGE5-65;2;20
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-50;ERVEXTAGE5-15;1;1217
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-50;ERVEXTAGE5-15;2;2004
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-90;ERVEXTAGE5-15;1;3964
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-20;ERVEXTAMST4-90;ERVEXTAGE5-15;2;8511
